============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:07:44 pm
  Module:                 cephalopode
  Technology libraries:   asap7sc7p5t_AO_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_INVBUF_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_OA_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_SEQ_RVT_TT_ccs_220123 1.0
                          asap7sc7p5t_SIMPLE_RVT_TT_ccs_211120 1.0
                          physical_cells 
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

          Instance                          Module                 Cell Count  Cell Area  Net Area   Total Area 
            inst_130         m_271_36                                       4      4.432     1.496        5.929 
            inst_127         m_271_35                                       4      4.432     1.496        5.929 
            inst_124         m_271_34                                       4      4.432     1.496        5.929 
            inst_121         m_271_33                                       4      4.432     1.496        5.929 
            inst_109         m_271_29                                       4      4.432     1.496        5.929 
            inst_97          m_271_25                                       4      4.432     1.496        5.929 
            inst_82          m_271_20                                       4      4.432     1.496        5.929 
            inst_79          m_271_19                                       4      4.432     1.496        5.929 
            inst_76          m_271_18                                       4      4.432     1.496        5.929 
            inst_73          m_271_17                                       4      4.432     1.496        5.929 
            inst_61          m_271_13                                       4      4.432     1.496        5.929 
            inst_49          m_271_9                                        4      4.432     1.496        5.929 
            inst_22          m_271                                          4      4.432     1.496        5.929 
            inst_19          m_1139                                         4      4.432     1.496        5.929 
            inst_13          m_1142                                         4      4.432     1.496        5.929 
            inst_11          m_1143                                         4      4.432     1.496        5.929 
            inst_373         m_271_117                                      3      4.199     0.998        5.197 
            inst_184         m_271_54                                       3      3.966     0.998        4.963 
            inst_88          m_271_22                                       3      3.966     0.998        4.963 
            inst_40          m_271_6                                        3      3.966     0.998        4.963 
            inst_17          m_1140                                         3      3.966     0.998        4.963 
            inst_9           m_1144                                         3      3.966     0.998        4.963 
            inst_5           m_1146                                         3      3.966     0.998        4.963 
            inst_3           m_1147                                         3      3.966     0.998        4.963 
            inst_328         m_271_102                                      3      3.732     0.998        4.730 
            inst_229         m_271_69                                       3      3.732     0.998        4.730 
            inst_181         m_271_53                                       3      3.732     0.998        4.730 
            inst_136         m_271_38                                       3      3.732     0.998        4.730 
            inst_133         m_271_37                                       3      3.732     0.998        4.730 
            inst_85          m_271_21                                       3      3.732     0.998        4.730 
            inst_34          m_271_4                                        3      3.732     0.998        4.730 
            inst_31          m_271_3                                        3      3.732     0.998        4.730 
            inst_28          m_271_2                                        3      3.732     0.998        4.730 
            inst_25          m_271_1                                        3      3.732     0.998        4.730 
            inst_15          m_1141                                         3      3.732     0.998        4.730 
            inst_7           m_1145                                         3      3.732     0.998        4.730 
            inst_1           m_262                                          2      3.266     0.499        3.765 
