============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
            inst_368              1     0.125      0.000      0.125 
            inst_371              1     0.125      0.000      0.125 
            inst_374              1     0.125      0.000      0.125 
          inst_130               25     4.239      0.000      4.239 
          inst_1                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_2                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_3                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_4                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_5                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_6                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_7                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_8                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_9                 25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_10                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_11                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_12                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_13                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_14                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_15                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_16                25     2.985    822.927    825.912 
            inst_2               16     2.223    822.927    825.150 
            inst_1                9     0.762      0.000      0.762 
              inst_1              9     0.762      0.000      0.762 
          inst_17                25     2.985    822.927    825.912 
